Product_ID,Product_Name,Category,Brand,Quantity_g,Manufacture_Date,Expiry_Date,Shelf_Life_Days,Days_Left,Storage_Condition,Price_INR,Country,Waste_Risk
PRD_2000,Rice Batter,Bakery,Nestle,5000,01-02-2026,06-02-2026,5,11,Ambient,490.77,India,0
PRD_2001,Pasta,Grains/Legumes,Fortune,2000,08-03-2025,27-01-2026,325,1,Ambient,241.6,India,1
PRD_2002,Bun,Bakery,ITC,500,04-02-2026,08-02-2026,4,13,Ambient,467.76,India,0
PRD_2003,Pasta,Grains/Legumes,Britannia,500,01-07-2025,24-01-2026,207,-2,Ambient,338.3,India,0
PRD_2004,Paneer,Dairy,Nestle,1000,18-01-2026,30-01-2026,12,4,Refrigerated,415.82,India,0
PRD_2005,Paneer,Dairy,MTR,250,23-01-2026,02-02-2026,10,7,Refrigerated,280.46,India,0
PRD_2006,Rice,Grains/Legumes,Fortune,250,24-07-2025,30-01-2026,190,4,Ambient,113.2,India,1
PRD_2007,Paneer,Dairy,Mother Dairy,2000,17-01-2026,24-01-2026,7,-2,Refrigerated,149.32,India,1
PRD_2008,Pasta,Grains/Legumes,Mother Dairy,250,28-02-2025,24-01-2026,330,-2,Ambient,425.92,India,1
PRD_2009,Rajma,Grains/Legumes,Mother Dairy,250,20-05-2025,31-01-2026,256,5,Ambient,566.93,India,1
PRD_2010,Flour,Grains/Legumes,Britannia,1000,07-03-2025,07-02-2026,337,12,Ambient,582.08,India,1
PRD_2011,Rice,Grains/Legumes,Amul,5000,24-04-2025,24-01-2026,275,-2,Ambient,322,India,1
PRD_2012,Rice,Grains/Legumes,Nestle,500,17-07-2025,03-02-2026,201,8,Ambient,149.97,India,0
PRD_2013,Rice,Grains/Legumes,Aashirvaad,250,12-05-2025,03-02-2026,267,8,Ambient,53.42,India,0
PRD_2014,Bun,Bakery,Mother Dairy,1000,31-01-2026,05-02-2026,5,10,Ambient,354.48,India,0
PRD_2015,Paneer,Dairy,Aashirvaad,1000,03-02-2026,08-02-2026,5,13,Refrigerated,405.27,India,0
PRD_2016,Pasta,Grains/Legumes,Aashirvaad,500,13-06-2025,28-01-2026,229,2,Ambient,355.58,India,0
PRD_2017,Bun,Bakery,Britannia,250,29-01-2026,01-02-2026,3,6,Ambient,522.32,India,1
PRD_2018,Rice,Grains/Legumes,Aashirvaad,2000,24-06-2025,29-01-2026,219,3,Ambient,175.95,India,0
PRD_2019,Rajma,Grains/Legumes,ITC,500,26-06-2025,09-02-2026,228,14,Ambient,97.97,India,0
PRD_2020,Rice Batter,Bakery,Britannia,250,19-01-2026,24-01-2026,5,-2,Ambient,94.99,India,1
PRD_2021,Paneer,Dairy,Fortune,500,23-01-2026,03-02-2026,11,8,Refrigerated,197.17,India,0
PRD_2022,Fish,Protein,Mother Dairy,250,24-01-2026,02-02-2026,9,7,Refrigerated,305.92,India,0
PRD_2023,Chicken,Protein,ITC,5000,03-02-2026,10-02-2026,7,15,Refrigerated,322.33,India,0
PRD_2024,Flour,Grains/Legumes,MTR,500,14-06-2025,01-02-2026,232,6,Ambient,329.48,India,0
PRD_2025,Rajma,Grains/Legumes,Mother Dairy,500,15-06-2025,26-01-2026,225,0,Ambient,233.39,India,0
PRD_2026,Flour,Grains/Legumes,Britannia,1000,24-04-2025,10-02-2026,292,15,Ambient,180.09,India,0
PRD_2027,Chicken,Protein,Fortune,5000,30-01-2026,09-02-2026,10,14,Refrigerated,480.37,India,0
PRD_2028,Chicken,Protein,MTR,250,16-01-2026,30-01-2026,14,4,Refrigerated,562.82,India,1
PRD_2029,Noodles,Grains/Legumes,ITC,250,16-04-2025,03-02-2026,293,8,Ambient,402.82,India,0
PRD_2030,Bun,Bakery,Aashirvaad,500,21-01-2026,26-01-2026,5,0,Ambient,109.85,India,0
PRD_2031,Flour,Grains/Legumes,Aashirvaad,5000,28-04-2025,08-02-2026,286,13,Ambient,226.14,India,0
PRD_2032,Chicken,Protein,MTR,5000,29-01-2026,08-02-2026,10,13,Refrigerated,37.41,India,0
PRD_2033,Flour,Grains/Legumes,Nestle,1000,18-07-2025,25-01-2026,191,-1,Ambient,236.71,India,1
PRD_2034,Rice Batter,Bakery,Amul,250,21-01-2026,26-01-2026,5,0,Ambient,159.76,India,1
PRD_2035,Flour,Grains/Legumes,Aashirvaad,250,14-05-2025,06-02-2026,268,11,Ambient,70.9,India,0
PRD_2036,Rajma,Grains/Legumes,Britannia,500,12-06-2025,28-01-2026,230,2,Ambient,473.81,India,1
PRD_2037,Vegetables,Produce,ITC,2000,03-02-2026,06-02-2026,3,11,Refrigerated,227.03,India,0
PRD_2038,Bun,Bakery,Britannia,2000,19-01-2026,23-01-2026,4,-3,Ambient,371.23,India,1
PRD_2039,Pasta,Grains/Legumes,MTR,250,14-07-2025,27-01-2026,197,1,Ambient,461.84,India,1
PRD_2040,Rajma,Grains/Legumes,Nestle,2000,27-02-2025,26-01-2026,333,0,Ambient,529.55,India,1
PRD_2041,Pasta,Grains/Legumes,Britannia,1000,10-03-2025,29-01-2026,325,3,Ambient,458.48,India,0
PRD_2042,Rice Batter,Bakery,ITC,5000,20-01-2026,25-01-2026,5,-1,Ambient,340.7,India,1
PRD_2043,Bun,Bakery,MTR,2000,27-01-2026,30-01-2026,3,4,Ambient,425.72,India,1
PRD_2044,Paneer,Dairy,Aashirvaad,5000,20-01-2026,25-01-2026,5,-1,Refrigerated,455.37,India,1
PRD_2045,Rice Batter,Bakery,Fortune,1000,21-01-2026,25-01-2026,4,-1,Ambient,585.14,India,1
PRD_2046,Flour,Grains/Legumes,Nestle,250,09-05-2025,01-02-2026,268,6,Ambient,439.1,India,0
PRD_2047,Paneer,Dairy,MTR,5000,13-01-2026,25-01-2026,12,-1,Refrigerated,334.91,India,1
PRD_2048,Rajma,Grains/Legumes,ITC,2000,18-04-2025,23-01-2026,280,-3,Ambient,120.01,India,1
PRD_2049,Pasta,Grains/Legumes,MTR,2000,01-07-2025,02-02-2026,216,7,Ambient,143.66,India,0
PRD_2050,Rice Batter,Bakery,Nestle,1000,24-01-2026,29-01-2026,5,3,Ambient,312.07,India,0
PRD_2051,Vegetables,Produce,Fortune,500,29-01-2026,05-02-2026,7,10,Refrigerated,41.63,India,0
PRD_2052,Fish,Protein,MTR,5000,22-01-2026,04-02-2026,13,9,Refrigerated,191.78,India,0
PRD_2053,Vegetables,Produce,Amul,5000,29-01-2026,01-02-2026,3,6,Refrigerated,336.36,India,0
PRD_2054,Pasta,Grains/Legumes,Amul,1000,02-06-2025,27-01-2026,239,1,Ambient,30.22,India,1
PRD_2055,Bun,Bakery,ITC,2000,04-02-2026,07-02-2026,3,12,Ambient,384.01,India,0
PRD_2056,Paneer,Dairy,MTR,250,18-01-2026,30-01-2026,12,4,Refrigerated,514.08,India,0
PRD_2057,Rice Batter,Bakery,MTR,5000,24-01-2026,28-01-2026,4,2,Ambient,114.48,India,1
PRD_2058,Fish,Protein,Britannia,5000,18-01-2026,01-02-2026,14,6,Refrigerated,385.28,India,1
PRD_2059,Rajma,Grains/Legumes,MTR,500,29-03-2025,01-02-2026,309,6,Ambient,452.43,India,0
PRD_2060,Rajma,Grains/Legumes,Britannia,2000,27-02-2025,04-02-2026,342,9,Ambient,93.66,India,0
PRD_2061,Vegetables,Produce,Mother Dairy,1000,28-01-2026,04-02-2026,7,9,Refrigerated,353.74,India,0
PRD_2062,Rice Batter,Bakery,Mother Dairy,250,20-01-2026,23-01-2026,3,-3,Ambient,501.32,India,1
PRD_2063,Flour,Grains/Legumes,ITC,500,24-07-2025,05-02-2026,196,10,Ambient,306.85,India,0
PRD_2064,Chicken,Protein,Aashirvaad,5000,23-01-2026,06-02-2026,14,11,Refrigerated,185.06,India,1
PRD_2065,Bun,Bakery,Amul,250,04-02-2026,09-02-2026,5,14,Ambient,592.03,India,0
PRD_2066,Chicken,Protein,Britannia,2000,18-01-2026,29-01-2026,11,3,Refrigerated,97.49,India,0
PRD_2067,Fish,Protein,Nestle,500,15-01-2026,24-01-2026,9,-2,Refrigerated,199.98,India,1
PRD_2068,Bun,Bakery,MTR,5000,31-01-2026,03-02-2026,3,8,Ambient,367.66,India,1
PRD_2069,Noodles,Grains/Legumes,Britannia,5000,02-07-2025,23-01-2026,205,-3,Ambient,546.38,India,1
PRD_2070,Bun,Bakery,Aashirvaad,1000,22-01-2026,25-01-2026,3,-1,Ambient,586.89,India,1
PRD_2071,Paneer,Dairy,Nestle,500,16-01-2026,27-01-2026,11,1,Refrigerated,485.01,India,1
PRD_2072,Chicken,Protein,Aashirvaad,2000,11-01-2026,26-01-2026,15,0,Refrigerated,290.68,India,1
PRD_2073,Bun,Bakery,Amul,250,04-02-2026,08-02-2026,4,13,Ambient,160.12,India,0
PRD_2074,Rajma,Grains/Legumes,ITC,2000,08-04-2025,25-01-2026,292,-1,Ambient,483.67,India,1
PRD_2075,Flour,Grains/Legumes,MTR,250,22-07-2025,08-02-2026,201,13,Ambient,221.69,India,0
PRD_2076,Paneer,Dairy,Aashirvaad,250,26-01-2026,31-01-2026,5,5,Refrigerated,256.79,India,1
PRD_2077,Bun,Bakery,Aashirvaad,2000,20-01-2026,23-01-2026,3,-3,Ambient,559.58,India,1
PRD_2078,Bun,Bakery,ITC,1000,01-02-2026,06-02-2026,5,11,Ambient,538.33,India,0
PRD_2079,Rice Batter,Bakery,Fortune,500,02-02-2026,05-02-2026,3,10,Ambient,477.09,India,0
PRD_2080,Bun,Bakery,Aashirvaad,2000,23-01-2026,27-01-2026,4,1,Ambient,304.8,India,0
PRD_2081,Paneer,Dairy,Fortune,250,26-01-2026,02-02-2026,7,7,Refrigerated,371.52,India,1
PRD_2082,Vegetables,Produce,Mother Dairy,250,01-02-2026,04-02-2026,3,9,Refrigerated,331.94,India,0
PRD_2083,Fish,Protein,Aashirvaad,1000,27-01-2026,09-02-2026,13,14,Refrigerated,365.09,India,0
PRD_2084,Noodles,Grains/Legumes,Aashirvaad,250,15-02-2025,30-01-2026,349,4,Ambient,432.6,India,0
PRD_2085,Flour,Grains/Legumes,ITC,5000,01-05-2025,25-01-2026,269,-1,Ambient,488.52,India,1
PRD_2086,Noodles,Grains/Legumes,Mother Dairy,2000,24-06-2025,09-02-2026,230,14,Ambient,264.21,India,0
PRD_2087,Paneer,Dairy,Nestle,500,23-01-2026,04-02-2026,12,9,Refrigerated,61.24,India,0
PRD_2088,Rice,Grains/Legumes,ITC,1000,16-02-2025,26-01-2026,344,0,Ambient,184.78,India,1
PRD_2089,Rajma,Grains/Legumes,ITC,1000,03-07-2025,05-02-2026,217,10,Ambient,221.78,India,0
PRD_2090,Rice Batter,Bakery,Mother Dairy,250,23-01-2026,26-01-2026,3,0,Ambient,559.48,India,1
PRD_2091,Rice,Grains/Legumes,Fortune,2000,22-03-2025,09-02-2026,324,14,Ambient,545.12,India,0
PRD_2092,Rajma,Grains/Legumes,Fortune,5000,04-07-2025,30-01-2026,210,4,Ambient,484.54,India,0
PRD_2093,Bun,Bakery,Amul,500,20-01-2026,23-01-2026,3,-3,Ambient,595.34,India,1
PRD_2094,Rice Batter,Bakery,Nestle,250,20-01-2026,24-01-2026,4,-2,Ambient,193.46,India,1
PRD_2095,Fish,Protein,Britannia,500,20-01-2026,01-02-2026,12,6,Refrigerated,354.91,India,0
PRD_2096,Paneer,Dairy,ITC,1000,18-01-2026,27-01-2026,9,1,Refrigerated,393.96,India,1
PRD_2097,Vegetables,Produce,Britannia,1000,02-02-2026,08-02-2026,6,13,Refrigerated,406.18,India,0
PRD_2098,Rajma,Grains/Legumes,Mother Dairy,1000,02-07-2025,29-01-2026,211,3,Ambient,373.33,India,1
PRD_2099,Rice,Grains/Legumes,Britannia,1000,26-06-2025,30-01-2026,218,4,Ambient,125.08,India,0
PRD_2100,Pasta,Grains/Legumes,Aashirvaad,2000,01-06-2025,10-02-2026,254,15,Ambient,252.87,India,1
PRD_2101,Rice Batter,Bakery,Nestle,2000,30-01-2026,03-02-2026,4,8,Ambient,532.11,India,0
PRD_2102,Rajma,Grains/Legumes,MTR,500,03-05-2025,30-01-2026,272,4,Ambient,565.6,India,0
PRD_2103,Vegetables,Produce,Mother Dairy,250,30-01-2026,02-02-2026,3,7,Refrigerated,88,India,0
PRD_2104,Flour,Grains/Legumes,Mother Dairy,1000,05-05-2025,31-01-2026,271,5,Ambient,442.61,India,0
PRD_2105,Noodles,Grains/Legumes,Amul,250,25-02-2025,02-02-2026,342,7,Ambient,537.52,India,0
PRD_2106,Vegetables,Produce,Fortune,500,04-02-2026,10-02-2026,6,15,Refrigerated,444.17,India,0
PRD_2107,Bun,Bakery,Mother Dairy,2000,03-02-2026,07-02-2026,4,12,Ambient,356.04,India,0
PRD_2108,Pasta,Grains/Legumes,MTR,1000,11-05-2025,04-02-2026,269,9,Ambient,88.68,India,0
PRD_2109,Pasta,Grains/Legumes,Mother Dairy,2000,07-06-2025,10-02-2026,248,15,Ambient,199.39,India,0
