Recipe_ID,Recipe_Name,Category,Cuisine,Ingredients,Main_Ingredient,Meal_Type,Difficulty_Level,Preparation_Time_Min,Calories_kcal,Target_Country,Validation_Source
1,Curd Curry,Dairy,Indian,"Curd, Coconut, Turmeric, Ginger, Green Chilies, Curry Leaves, Mustard Seeds",Curd,Snack,Hard,44,388,India,Authentic Recipe
2,Egg Curry,Protein,Indian,"Egg, Onion, Tomato, Ginger-Garlic Paste, Coconut Milk, Spices",Egg,Lunch,Medium,41,354,India,Authentic Recipe
3,Green Peas Curry,Produce,Indian,"Green Peas, Coconut Milk, Onion, Ginger, Spices, Curry Leaves",Green,Lunch,Easy,20,615,India,Authentic Recipe
4,Vegetable Stew,Produce,Indian,"Carrots, Beans, Potato, Coconut Milk, Cinnamon, Cloves, Ginger",Vegetable,Breakfast,Hard,38,213,India,Authentic Recipe
5,Chicken Curry,Protein,Indian,"chicken, onion, tomato, spices",Chicken,Lunch,Medium,29,502,India,Authentic Recipe
6,Chicken Stew,Protein,Indian,"Chicken, Coconut Milk, Potato, Onion, Ginger, Peppercorns",Chicken,Lunch,Medium,28,388,India,Authentic Recipe
7,Beef Curry,Protein,Indian,"Beef, Onion, Coconut Slices, Ginger-Garlic Paste, Spices, Curry Leaves",Beef,Breakfast,Medium,32,313,India,Authentic Recipe
8,Beef Roast,Protein,Indian,"Beef, Onion, Coconut Slices, Black Pepper, Garam Masala, Curry Leaves",Beef,Snack,Hard,31,494,India,Authentic Recipe
9,Chicken Roast,Protein,Indian,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Red Chili Powder, Curry Leaves",Chicken,Breakfast,Medium,40,546,India,Authentic Recipe
10,Mutton Curry,Protein,Indian,"Mutton, Onion, Tomato, Ginger-Garlic Paste, Spices, Coconut Milk",Mutton,Snack,Hard,22,332,India,Authentic Recipe
11,Masala Dosa,Bakery,Indian,"Rice Batter, Potato, Onion, Mustard Seeds, Turmeric, Curry Leaves",Masala,Snack,Hard,27,463,India,Authentic Recipe
